age,annual_income,loan_amount,loan_term_months,credit_score,existing_debt,derogatory_marks,employment_length_years,dti_ratio,loan_to_income,default
28,93138.0,22725.56,60,458,26420.04,0,22,3.4528,0.244,1
55,51005.67,44681.67,24,775,28406.12,2,8,7.1211,0.876,1
55,60540.01,16973.07,24,847,11472.37,2,0,2.4142,0.2804,1
53,67123.16,4036.68,60,312,7822.73,3,15,1.4105,0.0601,1
25,49411.81,33194.05,36,806,33141.18,0,13,8.2725,0.6718,1
62,39130.53,34843.48,36,517,29697.78,0,7,9.4041,0.8904,1
59,11574.65,28572.4,48,521,33567.12,1,14,35.4178,2.4685,1
61,75407.29,34799.97,60,587,17710.93,0,15,2.9107,0.4615,1
48,91570.86,27140.21,48,823,18526.57,0,13,2.5019,0.2964,0
27,24424.17,35246.38,36,786,14094.6,0,15,7.4059,1.4431,1
29,70481.19,4109.0,48,623,20212.97,0,6,3.456,0.0583,1
28,34374.97,19683.07,48,475,26039.52,0,17,9.2333,0.5726,1
32,39343.36,12119.21,36,340,32674.52,1,16,10.0686,0.308,1
54,107630.17,6767.65,24,624,7735.24,1,0,0.8939,0.0629,1
53,27054.79,13236.45,24,566,16514.0,0,10,7.5693,0.4892,1
68,27030.23,11182.91,36,692,18717.46,0,19,8.4475,0.4137,1
43,144769.86,48710.31,24,412,19775.78,2,4,1.8075,0.3365,1
44,44921.24,15754.2,60,583,21907.93,0,22,5.9225,0.3507,1
57,103562.17,13086.03,24,502,32169.02,0,12,3.7907,0.1264,1
55,18784.33,42073.98,36,443,35506.9,0,7,23.4295,2.2398,1
64,19709.15,22117.58,60,542,6786.73,0,17,4.3566,1.1222,1
60,28345.78,22230.34,48,334,28650.93,0,12,12.3253,0.7843,1
42,36721.71,23292.34,36,352,19424.78,2,8,6.5591,0.6343,1
47,21121.1,21993.66,36,802,16999.81,0,10,10.0056,1.0413,1
55,61180.14,17675.14,24,655,4977.05,0,22,1.1207,0.2889,0
21,63624.67,15744.29,60,449,3033.36,0,5,0.6216,0.2475,0
55,28598.64,44334.06,36,736,39123.53,0,10,16.933,1.5502,1
57,29996.64,9761.95,60,749,25873.56,0,14,10.4157,0.3254,1
67,32465.43,10690.99,60,824,18370.82,1,13,6.8562,0.3293,1
34,24369.03,29442.52,24,566,30589.66,3,7,15.6673,1.2082,1
23,8627.11,18495.61,36,385,4099.74,0,17,6.4172,2.1439,1
21,46582.3,22233.41,60,608,24494.13,0,0,6.4054,0.4773,1
25,37863.29,40714.24,60,564,26594.16,0,20,8.6435,1.0753,1
46,40259.95,45374.29,48,791,18356.17,0,8,5.7531,1.127,1
34,26713.33,39946.58,24,316,10477.65,0,22,5.4544,1.4954,1
59,79721.81,13276.56,36,488,38206.1,0,6,5.8064,0.1665,1
47,210078.16,49038.62,60,821,12394.83,0,14,0.7547,0.2334,0
29,29719.22,19432.47,24,465,5429.48,0,14,2.5192,0.6539,1
35,113529.46,10115.22,36,644,25403.71,2,8,2.7149,0.0891,1
35,61083.06,25975.84,60,518,23185.76,0,20,4.64,0.4253,1
46,50073.74,36813.72,36,393,30313.52,1,4,7.5096,0.7352,1
62,39875.86,5997.0,36,457,30274.43,1,6,9.1607,0.1504,1
33,46633.29,32445.77,24,333,24999.32,0,11,6.7809,0.6958,1
52,97709.53,43187.74,24,715,8697.64,0,5,1.2892,0.442,1
59,24764.13,14565.51,48,805,35542.25,0,9,17.3698,0.5882,1
69,41564.26,35269.91,48,789,10307.18,2,14,3.1879,0.8486,1
52,103714.8,21195.61,48,823,4212.38,0,21,0.5385,0.2044,0
24,88453.19,21878.49,60,532,12409.22,0,23,1.733,0.2473,1
50,24995.43,15479.07,48,406,19587.67,0,3,9.5586,0.6193,1
57,43934.05,31970.9,36,492,8683.71,0,14,2.6144,0.7277,1
43,75872.13,19327.96,24,767,13680.03,0,17,2.291,0.2547,1
59,72988.48,41883.34,36,821,20790.88,0,2,3.6095,0.5738,1
65,87999.0,48219.46,24,578,13256.11,0,14,2.0816,0.548,1
35,61732.85,46884.21,24,427,4028.04,0,19,1.1627,0.7595,1
63,68266.33,9830.16,36,640,8289.93,2,4,1.5052,0.144,1
49,60215.07,2681.13,36,358,31871.17,3,1,6.3663,0.0445,1
56,126480.05,23046.48,60,481,38196.1,0,14,3.6604,0.1822,1
33,38059.78,36986.42,24,813,6363.26,0,7,2.4922,0.9718,1
52,50458.91,48917.85,48,542,27400.25,0,4,6.7586,0.9695,1
27,26662.64,39604.27,60,527,36270.4,0,22,16.6212,1.4854,1
42,23689.49,29866.37,48,817,12316.14,0,8,6.554,1.2607,1
48,59573.97,3264.94,60,444,33263.74,0,6,6.7113,0.0548,1
22,31744.93,41625.95,24,426,36244.96,0,3,14.3567,1.3113,1
62,47353.15,10502.96,36,634,12330.17,1,18,3.1986,0.2218,1
65,129398.18,4669.11,36,707,2741.26,0,7,0.2662,0.0361,0
26,124986.7,42817.22,24,420,36713.33,0,13,3.6961,0.3426,1
48,186172.11,29180.04,36,584,13554.07,0,8,0.9259,0.1567,1
48,130952.7,8170.48,24,541,1042.65,0,4,0.1267,0.0624,0
64,207276.91,20554.05,24,377,19259.33,1,5,1.1646,0.0992,1
64,63698.6,6106.0,24,749,5077.12,1,9,1.0044,0.0959,1
40,28515.06,32624.52,60,769,36117.22,0,12,15.428,1.1441,1
50,26896.85,15556.51,36,480,6622.32,0,9,3.1473,0.5784,1
31,113300.44,43572.52,60,564,12524.54,0,21,1.4034,0.3846,1
48,50563.03,19174.21,48,594,31722.78,2,12,7.6235,0.3792,1
45,52874.63,25742.43,24,546,32350.71,0,2,7.5855,0.4869,1
59,35261.86,5049.12,36,723,36100.56,1,11,12.3331,0.1432,1
53,37892.01,15228.45,48,358,20147.15,0,3,6.4809,0.4019,1
21,61713.35,34484.83,24,757,39475.46,1,10,7.9553,0.5588,1
47,26026.38,37340.61,48,310,20889.47,0,8,9.9902,1.4347,1
33,57198.51,13655.45,60,646,31732.96,1,5,6.7052,0.2387,1
61,121375.96,26183.36,60,304,14795.15,0,11,1.5059,0.2157,1
23,13627.14,41241.49,36,669,37681.01,0,13,34.1905,3.0264,1
59,19442.43,20235.69,48,757,27558.14,0,20,17.2693,1.0408,1
26,73523.91,8421.02,48,544,3545.38,0,8,0.6073,0.1145,1
28,111121.64,22729.78,60,548,4786.53,0,7,0.5578,0.2045,1
47,36536.4,30830.18,60,734,35687.02,0,8,11.8898,0.8438,1
29,14780.38,2355.13,36,719,32477.56,1,12,26.4212,0.1593,1
57,115746.13,18731.24,24,404,13538.72,1,10,1.4845,0.1618,1
53,30132.54,31156.92,36,541,21103.04,1,8,8.7488,1.034,1
62,39468.26,47691.77,60,571,34183.56,2,19,10.6349,1.2084,1
64,59363.03,21610.34,36,818,4585.53,0,7,1.0483,0.364,0
44,32864.23,9822.67,24,343,5956.51,0,9,2.3244,0.2989,1
35,28978.87,27642.52,60,325,28763.31,2,8,12.1015,0.9539,1
52,29299.33,15716.11,24,480,3747.12,0,20,1.8029,0.5364,1
52,149455.97,12309.41,36,727,14426.38,0,3,1.1858,0.0824,0
44,98298.9,30339.36,24,567,10446.43,0,9,1.4296,0.3086,1
61,69196.84,45962.41,60,450,30531.29,3,16,5.4275,0.6642,1
69,13202.22,42090.76,60,394,596.69,0,18,1.18,3.1882,1
69,69349.56,10750.04,24,681,5057.7,0,9,0.9527,0.155,1
32,67138.98,38762.21,36,814,4410.8,0,17,0.9808,0.5773,0
59,22768.2,13033.69,36,727,13064.04,0,15,7.0762,0.5725,1
22,57252.47,15953.66,36,724,9682.94,1,22,2.1224,0.2787,0
23,92124.44,46162.47,36,498,9517.17,1,3,1.4067,0.5011,1
69,68983.29,45730.41,48,307,15130.53,0,8,2.7978,0.6629,1
57,32594.48,10094.28,48,626,8954.93,0,8,3.3743,0.3097,1
69,49412.5,5081.21,24,320,4695.46,0,1,1.1917,0.1028,1
37,75979.14,16069.67,48,845,23538.42,0,18,3.7705,0.2115,1
69,50801.0,29925.2,48,554,38093.64,0,7,9.1456,0.5891,1
22,104044.18,44090.8,48,732,24483.01,1,18,2.9297,0.4238,1
22,62156.39,7704.19,24,804,30402.32,0,3,5.9315,0.1239,1
48,77014.85,21918.01,48,326,38900.99,0,10,6.1325,0.2846,1
43,80245.05,15043.99,36,819,6549.92,0,2,1.042,0.1875,0
57,25848.05,2716.59,36,829,18662.49,0,17,8.6991,0.1051,1
52,50513.28,39845.42,24,799,23482.97,0,16,5.973,0.7888,1
53,40158.42,41037.64,24,532,13223.46,1,18,4.4623,1.0219,1
21,91702.75,12618.99,24,695,24718.61,0,8,3.3034,0.1376,1
39,64727.4,9259.53,60,606,25140.91,0,15,4.6896,0.1431,1
22,43786.14,8938.92,48,809,33768.05,1,7,9.3055,0.2041,1
64,22717.46,24269.47,24,723,33384.36,1,8,18.1687,1.0683,1
46,18804.57,13831.79,24,449,6129.62,0,4,4.2793,0.7356,1
52,59053.88,26545.07,24,691,7171.23,0,4,1.682,0.4495,1
26,31878.03,20472.88,36,789,9283.69,0,13,3.7088,0.6422,1
52,73106.74,12122.73,24,346,10818.59,0,23,1.8587,0.1658,0
24,18290.11,38057.21,36,611,22797.49,0,13,15.6508,2.0808,1
31,127487.13,9217.47,36,438,13435.87,0,4,1.2888,0.0723,1
37,73007.57,40347.31,60,704,38142.03,0,3,6.3798,0.5526,1
58,52026.63,28949.43,24,313,5172.91,0,24,1.4714,0.5564,1
44,134569.4,41937.78,60,818,10236.16,0,16,0.9751,0.3116,0
25,86599.62,2228.43,24,484,34798.54,0,5,4.8349,0.0257,1
54,36864.27,37961.05,48,414,23581.08,0,6,7.9335,1.0298,1
26,51356.45,4472.75,24,409,22123.42,0,13,5.2129,0.0871,1
42,15084.69,47604.74,24,580,23976.64,0,14,20.6515,3.1558,1
31,92828.98,35731.5,24,842,10464.45,0,5,1.5452,0.3849,0
68,41045.19,17368.27,24,385,30577.17,0,9,9.1511,0.4231,1
36,14967.93,17352.82,24,437,20113.02,3,7,16.7046,1.1593,1
53,24122.42,43351.63,24,765,2182.54,1,7,1.9843,1.7972,1
29,82664.64,45336.33,60,376,7497.75,1,4,1.1981,0.5484,1
26,129092.13,44795.52,48,436,32756.65,1,15,3.1317,0.347,1
36,49625.26,40819.53,60,396,14129.27,1,19,3.5811,0.8226,1
49,27194.48,41313.54,48,830,31051.04,0,10,14.0816,1.5192,1
23,20900.96,29492.86,60,308,26703.38,0,6,15.6136,1.4111,1
40,114550.24,3355.09,60,382,12407.66,0,24,1.3057,0.0293,0
56,64195.0,6165.12,24,346,5517.9,1,1,1.0795,0.096,1
39,40211.82,33178.56,60,811,32374.34,1,6,9.8262,0.8251,1
46,34857.96,21255.93,48,729,25901.95,0,5,9.0693,0.6098,1
23,73357.34,29230.86,36,389,12381.5,2,18,2.1582,0.3985,1
39,72156.39,13091.73,48,812,21169.36,0,17,3.5659,0.1814,1
40,28625.39,33172.02,60,713,24670.17,0,0,10.5737,1.1588,1
52,24700.44,13655.82,36,812,583.68,0,17,0.4679,0.5529,0
27,25459.86,24119.01,24,376,26985.27,0,11,13.1926,0.9473,1
61,37014.51,24978.56,36,380,26415.08,0,20,8.7886,0.6748,1
53,32406.97,10528.08,24,501,3761.85,0,16,1.5554,0.3249,1
60,129424.79,44057.97,48,746,31616.26,0,7,3.0165,0.3404,1
59,36233.22,27239.41,36,406,33091.01,0,19,11.2099,0.7518,1
38,23160.42,43605.62,36,591,11961.42,1,2,6.8251,1.8828,1
60,23954.26,14601.71,36,611,6907.4,0,9,3.6635,0.6096,1
21,43897.69,10272.13,24,816,27616.02,0,15,7.6662,0.234,1
31,16427.72,2864.8,24,725,5372.33,1,17,4.0115,0.1744,1
48,47284.02,6505.5,48,714,34392.68,0,0,8.7628,0.1376,1
45,21988.49,9078.59,48,434,19465.11,0,7,10.7261,0.4129,1
43,98239.75,5785.07,60,818,36437.45,0,24,4.4626,0.0589,1
51,52571.92,45050.21,24,663,25865.69,0,18,6.3325,0.8569,1
50,175012.76,45749.04,48,683,11761.14,1,2,0.8718,0.2614,0
62,42748.08,46993.41,36,331,18987.49,0,15,5.6965,1.0993,1
55,7487.23,48073.32,36,839,21409.21,0,15,36.4534,6.4207,1
27,117548.79,25608.08,36,786,32698.77,0,15,3.4107,0.2179,1
36,66247.56,27441.18,48,664,34543.28,1,24,6.3607,0.4142,1
46,72703.49,8279.86,36,563,27478.97,0,22,4.5735,0.1139,1
68,26861.51,8578.5,36,441,12120.83,1,11,5.5213,0.3194,1
69,47776.6,39092.31,24,329,21378.46,0,8,5.7787,0.8182,1
22,54823.63,43075.0,24,429,5659.56,0,17,1.6316,0.7857,1
21,42502.05,39666.29,48,369,9589.32,0,22,2.9408,0.9333,1
68,17315.93,42059.64,24,418,12470.82,0,23,9.8568,2.429,1
32,258129.13,15275.38,60,626,3374.02,0,10,0.1687,0.0592,0
25,80942.76,24371.16,48,369,35457.05,0,19,5.3319,0.3011,1
57,63092.07,24041.57,60,507,5344.45,1,10,1.0927,0.3811,1
52,107832.18,49773.6,60,390,28025.13,0,19,3.2111,0.4616,1
29,72150.92,47560.54,48,419,20473.64,0,11,3.5699,0.6592,1
61,32652.55,30727.33,24,506,33354.83,0,17,12.7286,0.941,1
55,103763.51,8622.71,24,705,29770.91,1,1,3.4845,0.0831,1
39,81742.52,14412.61,48,846,30509.65,0,3,4.523,0.1763,1
68,33403.92,19460.55,60,423,17024.68,0,3,6.2324,0.5826,1
36,78748.05,43914.16,48,411,33442.06,0,20,5.2355,0.5577,1
23,42432.0,10190.36,48,506,4242.3,0,13,1.2598,0.2402,1
40,55552.67,12547.85,36,685,18054.55,2,12,3.9753,0.2259,1
44,70248.22,18770.47,36,446,39787.26,0,8,6.8856,0.2672,1
53,111424.07,46491.69,60,431,37950.52,0,14,4.1706,0.4172,1
44,33269.7,26182.98,24,403,3747.4,1,24,1.7451,0.787,0
31,61021.24,33048.13,36,541,23132.93,1,22,4.7297,0.5416,1
69,164297.77,20586.72,36,630,12968.2,2,21,0.9889,0.1253,0
28,44106.9,11049.06,60,448,29274.67,0,9,8.0148,0.2505,1
56,55156.73,12694.43,48,468,29563.6,0,4,6.4895,0.2302,1
58,164150.39,40528.22,36,383,503.68,0,3,0.1191,0.2469,0
60,71860.82,44887.14,24,819,33909.86,0,17,5.9749,0.6246,1
40,20243.96,25667.63,60,406,9331.52,2,3,5.785,1.2679,1
55,30415.68,19135.74,36,564,38653.31,0,15,15.4597,0.6291,1
68,74142.75,40776.09,60,330,36264.54,1,10,5.9794,0.55,1
45,63183.78,34308.55,36,846,8031.03,0,6,1.7063,0.543,0
55,54043.68,3961.95,36,546,25635.25,0,0,5.7166,0.0733,1
45,179285.45,18835.56,60,829,12205.88,0,2,0.838,0.1051,1
49,33843.69,34744.3,24,323,4567.87,0,15,2.1329,1.0266,1
38,46880.25,29536.63,24,797,35023.09,1,3,9.2799,0.63,1
66,15095.23,48947.23,48,603,7642.65,0,22,6.8862,3.2426,1
38,98360.63,43573.54,36,697,17128.22,1,2,2.2373,0.443,1
22,30354.15,4867.44,48,702,37005.47,0,19,14.6696,0.1604,1
55,92436.95,36836.91,60,615,3476.5,0,0,0.531,0.3985,0
36,86787.52,18143.68,48,577,22248.09,0,0,3.1285,0.2091,1
61,200678.53,34739.97,60,841,23099.7,0,9,1.4159,0.1731,0
56,72371.32,31626.78,24,442,30641.14,1,11,5.2992,0.437,1
53,39590.64,26146.41,60,709,33171.67,1,2,10.1865,0.6604,1
24,64355.25,42941.58,60,655,17253.68,0,22,3.3507,0.6673,1
53,31083.99,36017.11,48,823,29875.48,0,12,11.8231,1.1587,1
34,59367.14,44698.65,36,502,36462.35,0,5,7.6212,0.7529,1
41,43454.01,15516.98,48,549,35507.51,0,20,9.8948,0.3571,1
68,46995.02,18710.12,24,402,20321.85,0,23,5.3882,0.3981,1
40,28594.8,31853.66,24,767,24477.67,1,23,10.8292,1.114,1
28,58704.26,48390.29,24,334,27075.95,0,19,5.9469,0.8243,1
27,80381.39,19835.94,36,623,32854.8,0,9,4.9871,0.2468,1
23,18192.09,3550.1,48,831,20555.46,1,5,13.6077,0.1951,1
37,32430.17,23402.62,60,567,4920.05,0,0,1.9649,0.7216,1
53,54221.26,28108.62,60,352,15719.42,0,14,3.5826,0.5184,1
68,11987.38,40447.4,36,317,28947.98,1,13,30.1032,3.3742,1
32,139268.45,36972.82,24,403,25140.06,0,11,2.2989,0.2655,1
42,31994.95,48303.81,36,451,30262.93,0,9,11.8536,1.5097,1
42,27921.37,39568.77,60,713,20248.17,1,8,8.9857,1.4172,1
66,43286.44,16334.16,24,383,7388.99,2,20,2.2371,0.3774,1
50,53232.46,32786.25,36,607,5050.7,1,14,1.3439,0.6159,1
58,31135.88,34267.58,60,450,19509.85,0,13,7.7394,1.1006,1
58,88278.18,49904.98,60,848,8626.13,1,23,1.2856,0.5653,0
65,62306.68,8659.42,36,678,39299.54,0,9,7.6153,0.139,1
28,29662.97,11183.62,60,757,8350.74,1,0,3.4537,0.377,1
47,35830.58,9464.65,48,652,22887.98,0,19,7.7314,0.2642,1
47,19730.84,30274.89,48,675,569.83,0,1,0.7302,1.5344,1
54,23109.42,8494.45,24,507,10518.98,2,1,5.646,0.3676,1
41,61855.67,33488.37,48,759,10735.97,2,1,2.2181,0.5414,1
50,29848.24,40581.15,48,703,29650.5,0,1,12.2604,1.3596,1
53,144722.11,22774.06,36,829,20077.23,0,7,1.7172,0.1574,0
48,51151.85,28912.88,24,784,977.63,2,21,0.512,0.5652,0
67,21770.39,45810.66,36,421,15477.25,0,24,9.2326,2.1043,1
53,24686.0,29339.16,36,419,25968.85,0,17,13.0198,1.1885,1
25,92206.12,12013.07,48,550,25649.92,0,12,3.3707,0.1303,1
68,46821.22,18473.3,48,598,2628.6,0,16,0.7723,0.3945,1
39,88893.73,27432.6,60,346,37192.06,0,7,5.0824,0.3086,1
24,39344.33,9435.09,60,598,10256.15,3,9,3.1761,0.2398,1
55,35026.52,31400.95,24,818,35715.28,0,13,12.6842,0.8965,1
69,95958.24,49963.81,48,544,8929.87,0,18,1.2469,0.5207,1
37,29285.67,33321.68,60,517,22930.09,0,18,9.6233,1.1378,1
64,65738.0,19875.73,36,643,16540.17,0,23,3.1201,0.3023,1
48,43171.24,17923.83,48,613,23463.3,0,4,6.6257,0.4152,1
50,83052.98,46716.96,24,589,20165.58,2,23,3.1949,0.5625,1
49,145960.37,43832.69,24,496,580.87,0,17,0.1979,0.3003,0
66,38742.54,24673.21,36,715,14377.63,2,9,4.6656,0.6369,1
26,35302.7,18963.9,60,605,943.08,0,15,0.428,0.5372,0
55,73092.79,36102.29,36,777,27492.98,0,24,4.6783,0.4939,1
61,25611.53,17096.12,60,835,34213.08,0,17,16.1637,0.6675,1
57,129298.54,7731.36,48,519,15696.22,0,8,1.4717,0.0598,1
44,116729.38,16887.31,24,653,21229.68,0,9,2.2548,0.1447,1
49,26917.4,22846.21,60,534,3100.58,0,21,1.552,0.8488,1
69,18960.73,14259.75,36,605,15715.3,0,11,10.1967,0.7521,1
66,24432.11,12407.06,48,409,5984.99,0,4,3.0665,0.5078,1
51,24656.07,2294.73,60,613,3055.72,1,14,1.5058,0.0931,1
55,79304.99,32280.45,48,312,7295.31,0,22,1.2056,0.407,1
53,124181.84,31493.55,48,466,34898.34,0,6,3.4357,0.2536,1
41,78753.32,11025.21,36,352,39297.07,0,19,6.0345,0.14,1
52,42543.6,47295.2,36,485,35228.96,1,6,10.3074,1.1117,1
43,60204.3,21659.4,48,575,38801.98,0,2,7.824,0.3598,1
53,29089.52,3223.01,48,746,29366.87,0,2,12.1421,0.1108,1
23,94686.32,12549.05,60,651,6808.37,0,6,0.8894,0.1325,0
38,63526.81,35219.24,36,309,22745.23,0,0,4.4813,0.5544,1
45,77957.47,11677.76,60,709,29398.04,0,23,4.5552,0.1498,1
62,31681.2,4587.8,24,446,20781.78,0,17,7.944,0.1448,1
